name,location,latitude,longitude
"安禅寺","長崎市","",""
"安禅寺","東京都新宿区愛住町9-3","35.689027777","139.719027777"
"安禅寺","福島県伊達市梁川町五十沢字小坂159","37.889355","140.625916"
"安泰寺","呼続元町","35.113484519","136.932091728"
"安泰寺","新潟県村上市塩町6-34","38.225849","139.475876"
"安泰寺","静岡県焼津市鰯ケ島143","34.859669","138.323318"
"安泰寺","静岡県浜松市浜名区根堅214-1","34.840687","137.790894"
"安泰寺","東京都大田区西糀谷1-12-1","35.558888888","139.72825"
"安泰寺","兵庫県美方郡新温泉町久斗山62","35.596611111","134.575611111"
"安長寺","愛知県豊田市梅坪町5丁目14-1","35.100521","137.156616"
"安洞院","福島県福島市山口字寺前5番地","37.778417","140.513972"
"安徳寺","愛知県知多郡東浦町藤江西之宮82","34.947372","136.964462"
"安南寺","静岡県静岡市葵区沓谷1344-9","34.99374","138.412552"
"安入寺","新潟県新発田市大栄町2-7-22","37.946995","139.322632"
"安寧寺","静岡県浜松市中央区雄踏町山崎2997-1","34.710684","137.625837"
"安念寺","新潟県新発田市本田戊629","37.883087","139.284851"
"安倍寺","桜井市","34.501388888","135.839722222"
"安倍文殊院","奈良県桜井市阿部645","34.50376389","135.84255833"
"安福寺","茨城県つくば市西大橋459","36.07325","140.087888888"
"安福寺","茨城県稲敷市上君山2976番地の1","35.930752","140.272476"
"安福寺","茨城県鉾田市札1159番地","36.083214","140.547836"
"安福寺","佐賀県杵島郡白石町堤3144","33.17633","130.089"
"安福寺","埼玉県鴻巣市郷地522","36.068512","139.532303"
"安福寺","新潟県糸魚川市大字根小屋1224","36.961861","137.868011"
"安福寺","大阪府柏原市玉手町7-21","34.56291667","135.62930556"
"安福寺","東京都葛飾区西水元1-7-19","35.783527777","139.849611111"
"安房国分寺","館山市","34.993394","139.889511"
"安明寺 (春日井市)","春日井市","",""
"安養院","〒651-2108 兵庫県神戸市西区伊川谷町前開","34.6965","135.067"
"安養院","愛知県知多郡美浜町野間東畠ケ90-1","34.76975","136.852"
"安養院","茨城県神栖市矢田部508番地","35.801983","140.736862"
"安養院","群馬県甘楽郡下仁田町大字馬山3514","36.210705","138.815689"
"安養院","群馬県前橋市笂井町1164","36.36108","139.13913"
"安養院","埼玉県熊谷市今井868","36.17741","139.397064"
"安養院","埼玉県熊谷市飯塚437","36.220882","139.357819"
"安養院","埼玉県三郷市彦糸1-10","35.859638888","139.841916666"
"安養院","埼玉県児玉郡美里町猪俣3003","36.157635","139.180511"
"安養院","埼玉県深谷市高島451","36.236885","139.299316"
"安養院","埼玉県川越市山田158-1","35.94077","139.477519"
"安養院","埼玉県北本市中丸8-20","36.021854","139.555557"
"安養院","埼玉県本庄市中央3-3-6","36.242472222","139.183555555"
"安養院","新潟県燕市長辰6749","37.665157","138.834656"
"安養院","新潟県三条市神明町8-26","37.629585","138.962509"
"安養院","神奈川県鎌倉市大町3-1-22","35.314064","139.555447"
"安養院","静岡県周智郡森町一宮322","34.824341","137.883499"
"安養院","千葉県山武郡横芝光町谷台414","35.69492","140.456451"
"安養院","千葉県山武郡芝山町岩山2279","35.732559","140.376389"
"安養院","千葉県山武郡芝山町小池1378","35.698853","140.419403"
"安養院","千葉県八千代市桑橋386","35.75082","140.083954"
"安養院","東京都足立区千住5-17-9","35.755583333","139.803583333"
"安養院","東京都板橋区東新町2-30-23","35.754222222","139.679555555"
"安養院","東京都品川区西五反田4-12-1","35.626416666","139.710027777"
